,movieId,title,genres
0,185,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,1185,Jumanji (1995),Adventure|Children|Fantasy
2,333,Grumpier Old Men (1995),Comedy|Romance
3,1134,Father of the Bride Part II (1995),Comedy
4,446,Heat (1995),Action|Crime|Thriller
5,3590,Sabrina (1995),Comedy|Romance
6,782,GoldenEye (1995),Action|Adventure|Thriller
7,2424,"American President, The (1995)",Comedy|Drama|Romance
8,3579,Dracula: Dead and Loving It (1995),Comedy|Horror
9,3654,Balto (1995),Adventure|Animation|Children
10,2729,Nixon (1995),Drama
11,507,Casino (1995),Crime|Drama
12,287,Sense and Sensibility (1995),Drama|Romance
13,2244,Four Rooms (1995),Comedy
14,2080,Ace Ventura: When Nature Calls (1995),Comedy
15,1511,Get Shorty (1995),Comedy|Crime|Thriller
16,2590,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
17,4217,Assassins (1995),Action|Crime|Thriller
18,1653,Powder (1995),Drama|Sci-Fi
19,2352,Leaving Las Vegas (1995),Drama|Romance
20,3955,Now and Then (1995),Children|Drama
21,1427,Persuasion (1995),Drama|Romance
22,334,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
23,144,Dangerous Minds (1995),Drama
24,335,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
25,1013,Babe (1995),Children|Drama
26,1702,Dead Man Walking (1995),Crime|Drama
27,1249,Clueless (1995),Comedy|Romance
28,2226,Richard III (1995),Drama|War
29,2773,Mortal Kombat (1995),Action|Adventure|Fantasy
30,3075,To Die For (1995),Comedy|Drama|Thriller
31,336,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
32,949,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
33,175,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
34,1604,Mighty Aphrodite (1995),Comedy|Drama|Romance
35,623,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
36,1838,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
37,1217,Mr. Holland's Opus (1995),Drama
38,3923,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
39,666,Bio-Dome (1996),Comedy
40,1697,Friday (1995),Comedy
41,2100,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
42,3378,Kicking and Screaming (1995),Comedy|Drama
43,3383,"Misérables, Les (1995)",Drama|War
44,3783,Screamers (1995),Action|Sci-Fi|Thriller
45,2873,"Juror, The (1996)",Drama|Thriller
46,3878,Antonia's Line (Antonia) (1995),Comedy|Drama
47,667,Black Sheep (1996),Comedy
48,4152,Beautiful Girls (1996),Comedy|Drama|Romance
49,1442,Broken Arrow (1996),Action|Adventure|Thriller
50,783,"Hate (Haine, La) (1995)",Crime|Drama
51,2159,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
52,1504,Happy Gilmore (1996),Comedy
53,1609,"Bridges of Madison County, The (1995)",Drama|Romance
54,1839,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
55,0,Braveheart (1995),Action|Drama|War
56,145,Taxi Driver (1976),Crime|Drama|Thriller
57,1505,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
58,2358,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
59,1845,Flirting With Disaster (1996),Comedy
60,2554,Down Periscope (1996),Comedy
61,1250,"Birdcage, The (1996)",Comedy
62,1769,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
63,657,"Basketball Diaries, The (1995)",Drama
64,577,Apollo 13 (1995),Adventure|Drama|IMAX
65,1218,Rob Roy (1995),Action|Drama|Romance|War
66,784,Batman Forever (1995),Action|Adventure|Comedy|Crime
67,1985,Beauty of the Day (Belle de jour) (1967),Drama
68,1783,Casper (1995),Adventure|Children
69,3357,Congo (1995),Action|Adventure|Mystery|Sci-Fi
70,1443,Crimson Tide (1995),Drama|Thriller|War
71,1428,Crumb (1994),Documentary
72,1587,Desperado (1995),Action|Romance|Western
73,785,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
74,1610,First Knight (1995),Action|Drama|Romance
75,2766,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
76,2189,Hackers (1995),Action|Adventure|Crime|Thriller
77,3076,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
78,2668,Judge Dredd (1995),Action|Crime|Sci-Fi
79,1480,Kids (1995),Drama
80,4013,Living in Oblivion (1995),Comedy
81,719,Mallrats (1995),Comedy|Romance
82,2262,"Net, The (1995)",Action|Crime|Thriller
83,1605,Nine Months (1995),Comedy|Romance
84,2591,"Prophecy, The (1995)",Fantasy|Horror|Mystery
85,3135,Showgirls (1995),Drama
86,2636,Smoke (1995),Comedy|Drama
87,3151,Species (1995),Horror|Sci-Fi
88,2264,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
89,3228,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
90,703,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
91,2533,Under Siege 2: Dark Territory (1995),Action
92,3827,"Walk in the Clouds, A (1995)",Drama|Romance
93,2101,Waterworld (1995),Action|Adventure|Sci-Fi
94,3335,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
95,3793,Before the Rain (Pred dozhdot) (1994),Drama|War
96,896,Before Sunrise (1995),Drama|Romance
97,2534,Billy Madison (1995),Comedy
98,3898,Circle of Friends (1995),Drama|Romance
99,508,Clerks (1994),Comedy
100,3229,Don Juan DeMarco (1995),Comedy|Drama|Romance
101,4230,Disclosure (1994),Drama|Thriller
102,2142,Dolores Claiborne (1995),Drama|Thriller
103,786,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
104,3120,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
105,3874,Exotica (1994),Drama
106,668,Ed Wood (1994),Comedy|Drama
107,1538,French Kiss (1995),Action|Comedy|Romance
108,1135,Forget Paris (1995),Comedy|Romance
109,3606,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
110,1429,Hoop Dreams (1994),Documentary
111,2265,Heavenly Creatures (1994),Crime|Drama
112,2850,Immortal Beloved (1994),Drama|Romance
113,3077,I.Q. (1994),Comedy|Romance
114,1363,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
115,3529,Junior (1994),Comedy|Sci-Fi
116,1,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
117,2730,Little Women (1994),Drama
118,288,"Little Princess, A (1995)",Children|Drama
119,1703,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
120,1753,Legends of the Fall (1994),Drama|Romance|War|Western
121,3352,Major Payne (1995),Comedy
122,2691,"Madness of King George, The (1994)",Comedy|Drama
123,3230,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
124,1743,Miracle on 34th Street (1994),Drama
125,3991,Murder in the First (1995),Drama|Thriller
126,4153,Nobody's Fool (1994),Comedy|Drama|Romance
127,2966,Nell (1994),Drama
128,1754,Natural Born Killers (1994),Action|Crime|Thriller
129,787,Once Were Warriors (1994),Crime|Drama
130,1403,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
131,337,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
132,146,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
133,2425,Quiz Show (1994),Drama
134,3826,"Quick and the Dead, The (1995)",Action|Thriller|Western
135,788,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
136,789,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
137,2160,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
138,1652,"Swan Princess, The (1994)",Animation|Children
139,3231,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
140,790,Stargate (1994),Action|Adventure|Sci-Fi
141,2967,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
142,186,"Shawshank Redemption, The (1994)",Crime|Drama
143,791,Shallow Grave (1994),Comedy|Drama|Thriller
144,2851,Swimming with Sharks (1995),Comedy|Drama
145,3794,To Live (Huozhe) (1994),Drama
146,2536,Tank Girl (1995),Action|Comedy|Sci-Fi
147,2669,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
148,2655,Tommy Boy (1995),Comedy
149,1691,What's Eating Gilbert Grape (1993),Drama
150,2490,While You Were Sleeping (1995),Comedy|Romance
151,187,Muriel's Wedding (1994),Comedy
152,601,Ace Ventura: Pet Detective (1994),Comedy
153,2245,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
154,897,Bitter Moon (1992),Drama|Film-Noir|Romance
155,2891,Bullets Over Broadway (1994),Comedy
156,1219,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
157,2380,"Client, The (1994)",Drama|Mystery|Thriller
158,3078,"Corrina, Corrina (1994)",Comedy|Drama|Romance
159,1186,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
160,1187,"Flintstones, The (1994)",Children|Comedy|Fantasy
161,188,Forrest Gump (1994),Comedy|Drama|Romance|War
162,1404,Four Weddings and a Funeral (1994),Comedy|Romance
163,2799,It Could Happen to You (1994),Comedy|Drama|Romance
164,1898,"Jungle Book, The (1994)",Adventure|Children|Romance
165,196,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
166,792,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
167,1220,Maverick (1994),Adventure|Comedy|Western
168,2381,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
169,3232,Reality Bites (1994),Comedy|Drama|Romance
170,3839,Red Rock West (1992),Thriller
171,3976,Richie Rich (1994),Children|Comedy
172,1606,"River Wild, The (1994)",Action|Thriller
173,1221,Speed (1994),Action|Romance|Thriller
174,1840,Timecop (1994),Action|Sci-Fi|Thriller
175,793,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
176,2968,When a Man Loves a Woman (1994),Drama|Romance
177,2770,Wolf (1994),Drama|Horror|Romance|Thriller
178,3586,Wyatt Earp (1994),Western
179,3202,In the Mouth of Madness (1995),Horror|Thriller
180,1188,Addams Family Values (1993),Children|Comedy|Fantasy
181,1704,"Age of Innocence, The (1993)",Drama
182,669,Airheads (1994),Comedy
183,4133,"Beverly Hillbillies, The (1993)",Comedy
184,3190,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
185,2102,"Bronx Tale, A (1993)",Drama
186,1986,Carlito's Way (1993),Crime|Drama
187,4057,Cliffhanger (1993),Action|Adventure|Thriller
188,3636,Coneheads (1993),Comedy|Sci-Fi
189,1014,Dave (1993),Comedy|Romance
190,197,Dazed and Confused (1993),Comedy
191,2592,Demolition Man (1993),Action|Adventure|Sci-Fi
192,3233,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
193,1147,Fearless (1993),Drama
194,1444,"Firm, The (1993)",Drama|Thriller
195,950,Free Willy (1993),Adventure|Children|Drama
196,4191,Fresh (1994),Crime|Drama|Thriller
197,338,"Fugitive, The (1993)",Thriller
198,3032,Hot Shots! Part Deux (1993),Action|Comedy|War
199,2121,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
200,1705,"Hudsucker Proxy, The (1994)",Comedy
201,2852,In the Line of Fire (1993),Action|Thriller
202,176,In the Name of the Father (1993),Drama
203,3828,What's Love Got to Do with It? (1993),Drama|Musical
204,670,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
205,2800,Kalifornia (1993),Drama|Thriller
