userid,appid
0,1621
0,10
0,1427
0,685
0,1590
0,9
0,8
0,404
0,672
0,70
0,96
0,388
0,1146
0,11
0,1176
0,50
1,11
2,375
2,788
2,724
2,204
2,398
2,15
2,597
2,361
2,1660
2,352
2,553
2,1499
2,731
2,8
3,963
3,552
3,10
3,530
3,362
3,689
3,67
3,641
3,12
3,954
3,274
3,391
3,137
3,434
3,541
3,6
3,1367
3,837
3,361
3,433
3,154
3,693
3,673
3,229
3,699
3,177
3,1637
3,334
3,421
3,637
3,907
3,558
3,119
3,521
3,984
3,643
3,747
3,7
3,909
3,800
3,634
3,729
3,379
3,659
3,844
3,914
3,118
3,709
3,9
3,96
3,291
3,375
3,1185
3,1340
3,632
3,180
3,1599
3,566
3,636
3,692
3,264
3,807
3,31
3,469
3,708
3,446
3,606
3,546
3,753
3,170
3,389
3,204
3,1565
3,785
3,47
3,144
3,1618
3,898
3,1641
3,493
3,462
3,897
3,968
3,349
3,344
3,226
3,1236
3,111
3,240
3,741
3,635
3,677
3,544
3,136
3,524
3,333
3,759
3,1541
3,1595
3,295
3,731
3,551
4,8
5,300
6,11
7,11
8,8
9,11
10,8
10,1203
11,13
12,11
12,404
13,11
14,11
14,802
14,434
14,8
14,50
14,677
14,1176
14,530
14,1377
14,661
15,11
16,11
17,11
18,11
19,11
20,8
21,11
22,1203
23,11
24,270
24,807
24,362
24,332
24,8
24,11
24,444
24,680
24,261
24,36
24,164
24,170
25,380
26,11
27,11
28,11
29,788
29,50
29,521
29,914
30,11
31,8
32,0
33,641
34,11
35,0
35,9
35,4
36,1203
36,50
36,517
36,8
36,1487
36,1541
36,596
37,11
38,0
39,645
40,627
40,382
40,199
40,668
40,12
40,200
40,109
40,303
40,7
40,535
40,543
40,295
40,546
40,381
40,1716
40,998
40,140
40,110
40,220
40,305
40,385
40,403
40,188
40,390
40,333
40,294
40,163
40,444
40,8
40,361
40,170
40,445
40,15
40,127
40,349
40,365
40,142
40,164
40,284
40,358
41,11
42,11
43,8
43,1192
44,8
44,10
44,359
44,963
44,77
44,9
44,1489
44,148
44,12
44,699
44,38
44,370
44,386
44,404
44,6
44,495
44,566
44,490
44,279
44,424
44,67
44,125
44,746
44,693
44,635
44,361
44,639
44,367
44,421
44,188
44,391
44,520
44,220
44,709
44,185
44,527
44,914
44,1379
44,647
44,142
44,170
44,162
44,47
44,1351
44,172
44,686
44,426
44,638
44,7
44,335
44,390
44,340
44,163
44,305
44,127
44,627
44,1628
44,625
44,194
44,338
44,445
