appid,release_date,developer,platforms,required_age,genres,name,steam_id
0,2000-11-01,Valve,windows;mac;linux,0,Action,Counter-Strike,10
1,1999-04-01,Valve,windows;mac;linux,0,Action,Team Fortress Classic,20
2,2003-05-01,Valve,windows;mac;linux,0,Action,Day of Defeat,30
3,2001-06-01,Valve,windows;mac;linux,0,Action,Deathmatch Classic,40
4,2000-11-01,Valve,windows;mac;linux,0,Action,Ricochet,60
5,1998-11-08,Valve,windows;mac;linux,0,Action,Half-Life,70
6,2004-11-16,Valve,windows;mac;linux,0,Action,Half-Life 2,220
7,2007-10-10,Valve,windows;mac;linux,0,Action,Portal,400
8,2007-10-10,Valve,windows;mac;linux,0,Action;Free to Play,Team Fortress 2,440
9,2008-11-17,Valve,windows;mac,0,Action,Left 4 Dead,500
10,2009-11-19,Valve,windows;mac;linux,0,Action,Left 4 Dead 2,550
11,2013-07-09,Valve,windows;mac;linux,0,Action;Free to Play;Strategy,Dota 2,570
12,2011-04-18,Valve,windows;mac;linux,0,Action;Adventure,Portal 2,620
13,2010-07-19,Valve,windows,0,Action,Alien Swarm,630
14,2005-10-12,Mark Healey,windows,0,Indie,Rag Doll Kung Fu,1002
15,2009-05-14,Tripwire Interactive,windows;mac;linux,0,Action,Killing Floor,1250
16,2005-07-14,Introversion Software,windows;mac;linux,0,Indie;Strategy,Darwinia,1500
17,2006-08-23,Introversion Software,windows;mac;linux,0,Indie;Strategy,Uplink,1510
18,2006-09-29,Introversion Software,windows;mac;linux,0,Indie;Strategy,DEFCON,1520
19,2008-09-19,Introversion Software,windows;mac,0,Indie,Multiwinia,1530
20,2006-02-07,Sonalysts,windows,0,Strategy,Dangerous Waters,1600
21,2006-02-07,Malfador Machinations,windows,0,Strategy,Space Empires IV Deluxe,1610
22,2006-10-16,Malfador Machinations,windows,0,Strategy,Space Empires V,1690
23,2007-04-03,Arkane Studios,windows,0,RPG,Arx Fatalis,1700
24,2012-07-10,Valve,windows,0,Animation & Modeling;Video Production,Source Filmmaker,1840
25,2006-04-01,Reality Pump Studios,windows;mac;linux,0,Strategy,Earth 2160,1900
26,2009-04-30,Reality Pump Studios,windows;mac;linux,0,RPG,Two Worlds Epic Edition,1930
27,2007-08-03,id Software,windows,0,Action,Quake III Arena,2200
28,2007-08-03,id Software,windows,0,Action,Wolfenstein 3D,2270
29,2007-08-03,id Software,windows,0,Action,Final DOOM,2290
30,2010-10-29,Outerlight Ltd.,windows,0,Action,Bloody Good Time,2450
31,2006-05-08,Frozenbyte,windows;mac,0,Action,Shadowgrounds,2500
32,2007-11-07,Black Element,windows,0,Action,Alpha Prime,2590
33,2013-11-15,Egosoft,windows;mac;linux,0,Action;Simulation,X Rebirth,2870
34,2008-10-08,Techland,windows,0,Racing,Xpand Rally Xtreme,3050
35,2007-08-06,Metamorf,windows,0,Strategy,Genesis Rising,3230
36,2007-10-30,Mindware Studios,windows,0,Action,Painkiller Overdose,3270
37,2006-08-30,"PopCap Games, Inc.",windows;mac,0,Casual,Zuma Deluxe,3330
38,2007-03-06,"PopCap Games, Inc.",windows;mac,0,Casual,Peggle Deluxe,3480
39,2007-09-11,"PopCap Games, Inc.",windows,0,Casual,Peggle Extreme,3483
40,2009-04-15,SpinTop Games,windows,0,Casual,Amazing Adventures Around the World,3530
41,2009-04-15,SpinTop Games,windows;mac,0,Casual,Escape Rosecliff Island,3600
42,2009-07-16,Rebellion,windows,0,Action,Sniper Elite,3700
43,2009-06-22,Elixir Studios,windows,0,Strategy,Evil Genius,3720
44,2010-01-15,Rebellion,windows,0,Action,Aliens versus Predator Classic 2000,3730
45,2006-09-14,Terminal Reality,windows,0,Action,BloodRayne,3810
46,2006-09-14,Terminal Reality,windows,0,Action,BloodRayne 2,3820
47,2006-10-11,Double Fine Productions,windows;mac;linux,0,Action,Psychonauts,3830
48,2005-07-11,Firaxis Games,windows,0,RPG,Sid Meier's Pirates!,3920
49,2006-10-25,PopTop,windows,0,Strategy,Shattered Union,3960
50,2006-11-29,Facepunch Studios,windows;mac;linux,0,Indie;Simulation,Garry's Mod,4000
51,2006-11-07,Naked Sky Entertainment,windows,0,Action;Indie,RoboBlitz,4300
52,2007-03-20,Monte Cristo,windows,0,RPG,Silverfall,4420
53,2008-09-29,Monte Cristo,windows,0,Simulation;Strategy,City Life 2008,4460
54,2007-07-17,Pandemic Studios,windows,0,Action;Strategy,Full Spectrum Warrior,4520
55,2012-10-30,Unknown Worlds Entertainment,windows;linux,0,Action;Indie;Strategy,Natural Selection 2,4920
56,2010-10-25,Klei Entertainment,windows;mac;linux,0,Action;Indie,Shank,6120
57,2007-02-02,Bugbear Entertainment,windows,0,Racing,FlatOut,6220
58,2007-05-01,Funcom,windows,0,Action;Adventure;RPG,The Longest Journey,6310
59,2011-10-28,Stunlock Studios,windows,0,Action;Free to Play;Massively Multiplayer,Bloodline Champions,6370
60,2007-03-15,Avalanche Studios,windows,16,Action,Just Cause,6880
61,2007-03-29,Rebellion,windows,0,Action,Rogue Trooper,7020
62,2009-04-30,Gaijin Entertainment,windows;mac;linux,0,Nudity;Violent;Action;Adventure;RPG,X-Blades,7510
63,2011-06-14,Reality Pump Studios,windows;mac,0,Strategy,Two Worlds II Castle Defense,7530
64,2007-05-04,Firaxis Games;Feral Interactive (Mac),windows;mac,0,Strategy,Sid Meier's Railroads!,7600
65,2007-05-04,PopTop,windows,0,Strategy,Railroad Tycoon 3,7610
66,2009-05-13,Eidos Studio Hungary,windows,0,Action;Strategy,Battlestations Pacific,8170
67,2010-03-23,Avalanche Studios,windows,18,Action;Adventure,Just Cause 2,8190
68,2010-12-15,CCP,windows;mac,0,Action;Free to Play;Massively Multiplayer;RPG;Strategy,EVE Online,8500
69,2007-10-15,SimBin,windows,0,Racing,RACE 07,8600
70,2013-03-25,Irrational Games;Aspyr (Mac);Virtual Programming (Linux),windows;mac;linux,18,Action,BioShock Infinite,8870
71,2009-05-29,Irrational Games,windows,0,RPG;Strategy,Freedom Force,8880
72,2007-08-03,Gray Matter Studios,windows,0,Action,Return to Castle Wolfenstein,9010
73,2007-08-03,id Software,windows,0,Action,DOOM 3,9050
74,2007-08-03,Raven Software,windows,0,Action,HeXen II,9060
75,2011-10-03,id Software,windows,16,Action,RAGE,9200
76,2011-09-28,Gas Powered Games,windows,0,Strategy,Supreme Commander,9350
77,2009-01-07,Volition,windows;linux,0,Action,Saints Row 2,9480
78,2007-07-20,Cryptic Sea,windows;mac,0,Indie,Gish,9500
79,2011-06-14,Cryptic Studios,windows,0,Free to Play;Massively Multiplayer;RPG,Champions Online,9880
80,2012-01-31,Cryptic Studios,windows,0,Free to Play;Massively Multiplayer;RPG,Star Trek Online,9900
81,2010-11-10,Artech Studios,windows,0,Casual,The UnderGarden,9980
82,2011-10-28,Electronic Paradise,windows,0,Adventure,Dead Mountaineer's Hotel,10230
83,2008-08-07,Frogwares,windows,0,Adventure,Dracula Origin,11050
84,2009-12-23,Frogwares,windows,0,Adventure;RPG,Sherlock Holmes versus Jack the Ripper,11190
85,2007-11-14,Frozenbyte,windows;mac,0,Action,Shadowgrounds Survivor,11200
86,2008-06-24,Buka Entertainment;Lesta Studio,windows,0,Simulation;Strategy,Pacific Storm,11250
87,2008-08-18,Lesta Studio,windows,0,Simulation;Strategy,Pacific Storm Allies,11260
88,2009-03-19,IonFX,windows,0,Casual;Indie,Obulis,11330
89,2009-03-19,Meridian4,windows,0,Action;Indie,Larva Mortus,11340
90,2009-07-01,2DEngine.com,windows;mac,0,Indie,Chains,11360
91,2009-02-13,Deep Red Limited,windows,0,Simulation,Hospital Tycoon,11590
92,2008-01-04,Rockstar Games,windows,18,Action,Grand Theft Auto III,12100
93,2008-01-04,Remedy Entertainment,windows,18,Action,Max Payne,12140
94,2008-01-04,Rockstar North,windows,0,Action,Grand Theft Auto,12170
95,2008-01-04,Rockstar North,windows,0,Action,Grand Theft Auto 2,12180
